arrival_date,sku_name,category,mandi_name,zone,min_price_rs_kg,max_price_rs_kg,modal_price_rs_kg,arrival_qty_mt
2025-11-10,Bottle gourd,Volatile,Azadpur APMC,North,5.0,12.0,10.0,53.7
2025-12-01,Bottle gourd,Volatile,Azadpur APMC,North,15.0,30.0,22.0,113.7
2025-12-06,Bottle gourd,Volatile,Azadpur APMC,North,10.0,25.0,17.5,129.1
2025-12-10,Bottle gourd,Volatile,Azadpur APMC,North,10.0,25.0,17.0,57.7
2025-12-11,Bottle gourd,Volatile,Azadpur APMC,North,10.0,25.0,18.5,55.8
2025-12-15,Bottle gourd,Volatile,Azadpur APMC,North,10.0,25.0,17.5,104.7
2025-12-16,Bottle gourd,Volatile,Azadpur APMC,North,10.0,25.0,17.5,96.0
2025-12-17,Bottle gourd,Volatile,Azadpur APMC,North,10.0,25.0,17.5,177.8
2025-12-18,Bottle gourd,Volatile,Azadpur APMC,North,10.0,25.0,17.5,149.0
2025-12-19,Bottle gourd,Volatile,Azadpur APMC,North,10.0,25.0,17.5,106.9
2025-12-20,Bottle gourd,Volatile,Azadpur APMC,North,15.0,30.0,22.0,190.8
2025-12-22,Bottle gourd,Volatile,Azadpur APMC,North,15.0,30.0,22.0,137.5
2025-12-23,Bottle gourd,Volatile,Azadpur APMC,North,15.0,25.0,20.0,210.8
2025-12-24,Bottle gourd,Volatile,Azadpur APMC,North,15.0,25.0,20.0,187.7
2025-12-25,Bottle gourd,Volatile,Azadpur APMC,North,15.0,25.0,20.0,138.0
2025-12-26,Bottle gourd,Volatile,Azadpur APMC,North,15.0,25.0,20.0,151.6
2025-12-27,Bottle gourd,Volatile,Azadpur APMC,North,15.0,25.0,20.0,157.5
2025-12-29,Bottle gourd,Volatile,Azadpur APMC,North,15.0,25.0,20.0,117.2
2025-12-30,Bottle gourd,Volatile,Azadpur APMC,North,15.0,25.0,20.0,110.0
2026-01-01,Bottle gourd,Volatile,Azadpur APMC,North,15.0,25.0,20.0,130.2
2026-01-02,Bottle gourd,Volatile,Azadpur APMC,North,15.0,25.0,20.0,109.5
2026-01-03,Bottle gourd,Volatile,Azadpur APMC,North,15.0,25.0,20.0,123.1
2026-01-05,Bottle gourd,Volatile,Azadpur APMC,North,15.0,25.0,20.0,121.8
2026-01-14,Bottle gourd,Volatile,Azadpur APMC,North,5.0,12.0,10.0,94.4
2026-01-15,Bottle gourd,Volatile,Azadpur APMC,North,5.0,12.0,10.0,108.7
2026-01-16,Bottle gourd,Volatile,Azadpur APMC,North,5.0,12.0,10.0,94.3
2026-01-17,Bottle gourd,Volatile,Azadpur APMC,North,5.0,12.0,10.0,229.6
2026-01-19,Bottle gourd,Volatile,Azadpur APMC,North,5.0,12.0,10.0,125.7
2026-01-20,Bottle gourd,Volatile,Azadpur APMC,North,5.0,12.0,10.0,101.2
2026-01-21,Bottle gourd,Volatile,Azadpur APMC,North,5.0,12.0,10.0,144.7
2026-01-22,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,136.4
2026-01-23,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,111.7
2026-01-27,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,13.0,128.5
2026-01-28,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,13.0,89.9
2026-01-29,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,13.0,101.4
2026-01-30,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,13.0,98.4
2026-01-31,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,13.0,98.4
2026-02-02,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,105.7
2026-02-03,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,106.8
2026-02-05,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,120.4
2026-02-06,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,105.7
2026-02-07,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,11.0,70.5
2026-02-09,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,11.0,83.3
2026-02-10,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,11.0,78.5
2026-02-11,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,11.0,76.3
2026-02-12,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,85.5
2026-02-13,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,89.3
2026-02-16,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,117.7
2026-02-17,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,138.8
2026-02-18,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,146.0
2026-02-19,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,102.0
2026-02-20,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,181.5
2026-02-21,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,137.7
2026-02-23,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,274.1
2026-02-24,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,145.9
2026-02-25,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,114.4
2026-02-26,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,15.0,180.5
2026-02-27,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,15.0,256.2
2026-02-28,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,15.0,157.2
2026-03-02,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,15.0,199.0
2026-03-03,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,15.0,184.1
2026-03-06,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,15.0,262.1
2026-03-10,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,14.0,240.2
2026-03-11,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,261.4
2026-03-12,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,260.5
2026-03-13,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,278.7
2026-03-17,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,227.3
2026-03-20,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,225.7
2026-03-24,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,195.7
2026-03-26,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,14.0,176.2
2026-03-27,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,14.0,170.2
2026-03-28,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,14.0,218.0
2026-03-30,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,14.0,190.4
2026-04-01,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,14.0,168.5
2026-04-03,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,14.0,138.9
2026-04-04,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,14.0,140.0
2026-04-06,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,14.0,144.4
2026-04-07,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,14.0,130.3
2026-04-08,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,14.0,106.9
2026-04-09,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,14.0,99.2
2026-04-10,Bottle gourd,Volatile,Azadpur APMC,North,15.0,20.0,17.0,106.9
2026-04-13,Bottle gourd,Volatile,Azadpur APMC,North,15.0,20.0,17.0,93.7
2026-04-14,Bottle gourd,Volatile,Azadpur APMC,North,15.0,20.0,17.0,127.9
2026-04-15,Bottle gourd,Volatile,Azadpur APMC,North,15.0,20.0,17.0,113.8
2026-04-16,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,15.0,139.0
2026-04-17,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,13.0,154.9
2026-04-18,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,127.1
2026-04-20,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,81.6
2026-04-21,Bottle gourd,Volatile,Azadpur APMC,North,10.0,12.0,11.0,120.4
2026-04-22,Bottle gourd,Volatile,Azadpur APMC,North,8.0,10.0,9.0,84.8
2026-04-23,Bottle gourd,Volatile,Azadpur APMC,North,8.0,10.0,9.0,122.4
2026-04-24,Bottle gourd,Volatile,Azadpur APMC,North,8.0,10.0,9.0,108.2
2026-04-25,Bottle gourd,Volatile,Azadpur APMC,North,7.0,10.0,8.0,106.1
2026-04-27,Bottle gourd,Volatile,Azadpur APMC,North,7.0,10.0,8.0,51.3
2026-04-28,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,14.0,84.0
2026-04-29,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,14.0,68.9
2026-04-30,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,14.0,81.3
2026-05-01,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,14.0,78.9
2026-05-02,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,14.0,83.8
2026-05-04,Bottle gourd,Volatile,Azadpur APMC,North,10.0,20.0,13.0,57.4
2026-05-05,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,83.2
2026-05-06,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,46.8
2026-05-07,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,56.0
2026-05-08,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,100.5
2026-05-11,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,67.0
2026-05-12,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,102.7
2026-05-13,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,13.0,52.8
2026-05-14,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,13.0,84.7
